Breakdown of Team Goals,,,,,,,,,,,Responsible Person,,Data,
Objective and Key Results,,Mexico,,Colombia,,Peru,,Costa Rica,,Weight,Owner,Support,Definition,Data Parameter
,,"Baseline 
(23')","Target 
(24')","Baseline 
(23')","Target 
(24')","Baseline 
(23')","Target 
(24')","Baseline 
(23')","Target 
(24')",,,,,
Hunting BDMs SME,sandramartinez,,,,,,,,,100.0%,,,,
Objective 1: Overall Result,,,,,,,,,,30.0%,,,,
OKR 1.1,Daily Orders SME,3260,4159,0,0,0,0,0,0,30.0%,,,Daily Orders,Avg full year
Objective 2: Selection,,,,,,,,,,50.0%,,,,
KR 2.1,Acquire high-order potential restaurants in mid and low range,-,-,-,-,-,-,-,-,,,,,
a),Daily Orders of Rs acquired in 2024,1,1,0,0,0,0,0,0,25.0%,,,Orders contributed for Rs with less than 60 days in the platform,Q4
b),SME Total Rs Acquired (By BDs),2,1329,0,0,0,0,TBD,0,15.0%,,,Sum of all Rs +4 orders acquired in 2024 by BDs,Full year
KR 2.2,SME # of R1s  (5+ Daily Orders),-,-,-,-,-,-,-,-,,,,,
a),SME # of R1s  (5+ Daily Orders),1,1,0,0,0,0,0,0,10.0%,,,#of R1s(5+ Daily Orders),Q4
